model,psi_score,abs_error,signed_error,actual_psi
Interpretable Splicing Model,0.26,0.0050000000000000044,-0.0050000000000000044,0.265
SpliceAI,0.08207539908222294,0.18292460091777707,-0.18292460091777707,0.265
AlphaGenome,0.37913340790230116,0.11413340790230114,0.11413340790230114,0.265
MaxEntScan,0.3238867010751042,0.058886701075104186,0.058886701075104186,0.265
