model,psi_score,abs_error,signed_error,actual_psi
Interpretable Splicing Model,0.96,0.0030000000000000027,-0.0030000000000000027,0.963
SpliceAI,0.8043310454399943,0.15866895456000563,-0.15866895456000563,0.963
AlphaGenome,0.9980126599184564,0.03501265991845648,0.03501265991845648,0.963
MaxEntScan,0.3238867010751042,0.6391132989248958,-0.6391132989248958,0.963
